repo_slug,days_trending,first_trending,last_trending,latest_description
donnemartin/system-design-primer,1237,2017-03-09,2025-12-30,"Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards."
vinta/awesome-python,1081,2015-08-18,2025-10-18,"An opinionated list of awesome Python frameworks, libraries, software and resources."
tensorflow/models,996,2017-02-09,2024-11-01,"Models and examples built with TensorFlow"
TheAlgorithms/Python,722,2017-09-29,2025-12-31,"All Algorithms implemented in Python"
scikit-learn/scikit-learn,650,2015-08-19,2025-10-04,"scikit-learn: machine learning in Python"
django/django,642,2015-08-18,2025-10-05,"The Web framework for perfectionists with deadlines."
rg3/youtube-dl,627,2015-08-18,2019-03-10,"Command-line program to download videos from YouTube.com and other video sites"
keras-team/keras,612,2017-12-13,2025-08-14,"Deep Learning for humans"
ansible/ansible,585,2015-08-18,2025-12-20,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com."
public-apis/public-apis,578,2019-06-05,2025-12-29,"A collective list of free APIs"
pallets/flask,485,2017-02-08,2024-10-12,"The Python micro framework for building web applications."
python/cpython,458,2017-02-10,2025-11-10,"The Python programming language"
josephmisiti/awesome-machine-learning,433,2017-02-08,2024-05-10,"A curated list of awesome Machine Learning frameworks, libraries and software."
toddmotto/public-apis,429,2017-12-29,2019-06-04,"A collective list of free APIs for use in software and web development."
home-assistant/core,379,2020-03-03,2025-12-25,"🏡 Open source home automation that puts local control and privacy first."
huggingface/transformers,354,2019-11-17,2025-11-10,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training."
ageitgey/face_recognition,352,2017-03-14,2023-12-15,"The world's simplest facial recognition api for Python and the command line"
ytdl-org/youtube-dl,323,2019-03-11,2025-10-21,"Command-line program to download videos from YouTube.com and other video sites"
jackfrued/Python-100-Days,323,2018-05-23,2025-01-16,"Python - 100天从新手到大师"
swisskyrepo/PayloadsAllTheThings,319,2017-02-21,2025-12-25,"A list of useful payloads and bypass for Web Application Security and Pentest/CTF"
